"obs","year","cl_1","cl_2","lat","long"
1,2017,0.902,0.098,36.3702011827586,126.9830556
2,2017,0.794,0.206,35.7020306068965,126.8019444
3,2017,0.976,0.024,38.0823946137931,127.7541667
4,2017,0.976,0.024,37.2636015103448,127.0580556
5,2017,0.987,0.013,35.7953256482759,128.7216667
6,2017,0.969,0.031,34.9338793103448,127.2208333
7,2017,0.974,0.026,35.5470593758621,128.7011111
8,2017,0.082,0.918,35.2097605586207,126.8530556
9,2017,0.981,0.019,36.8374616413793,127.3111111
10,2017,0.962,0.038,35.4956493896552,128.962804
11,2017,0.985,0.015,35.1538505413793,127.4627778
13,2017,0.989,0.011,36.5693829,126.885138
14,2017,0.387,0.613,36.4979440103448,126.9530333
15,2017,0.091,0.909,35.4240052827586,129.0181964
16,2017,0.782,0.218,36.6529406241379,128.6030556
17,2017,0.28,0.72,35.5042145482759,128.1155556
19,2018,0.027,0.973,35.3662835137931,128.1155556
20,2018,0.028,0.972,35.753946337931,128.7216667
21,2018,0.034,0.966,35.3964190758621,129.0181964
22,2018,0.063,0.937,35.1193677827586,127.4627778
23,2018,0.881,0.119,35.722720262069,126.8019444
24,2018,0.594,0.406,36.4322701482759,126.9830556
25,2018,0.197,0.803,36.5462198724138,126.9530333
26,2018,0.074,0.926,36.7271168137931,127.3111111
27,2018,0.019,0.981,35.0649137931034,127.2208333
28,2018,0.01,0.99,37.2842911655172,127.0580556
29,2018,0.013,0.987,35.2304502137931,126.8530556
30,2018,0.012,0.988,38.0892911655172,127.7541667
